Date,Open,High,Low,Close,Adjusted Close,Volume,Start Date,End Date,President,House,Senate,Sector
2024-12-06,95.5,95.66,90.845,91.02,91.02,60731796,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Energy
2024-11-29,97.25,97.74,94.78,95.53,95.53,43557441,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Energy
2024-11-22,95.48,97.92,94.925,97.27,97.27,61023116,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Energy
2024-11-15,93.77,95.69,92.93,94.73,94.73,54588819,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Energy
2023-01-13,88.88,90.4,86.49,89.95,84.7225,89514797,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Energy
2023-01-06,86.92,88.63,82.83,87.56,82.4714,90967032,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Energy
2022-12-30,87.44,88.36,85.62,87.47,82.3866,57082434,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Energy
2022-12-23,84.38,87.08,82.68,87.06,82.0004,83238549,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Energy
2022-12-16,83.15,87.36,82.825,84.36,78.6476,124466937,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Energy
2022-12-09,91.2,91.56,82.65,82.68,77.0813,132478422,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Energy
2022-12-02,89.62,92.25,89.0504,90.31,84.1947,107925548,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Energy
2022-11-25,89.64,93.43,87.285,91.87,85.649,97644190,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Energy
2022-11-18,92.86,94.71,89.5101,91.63,85.4253,117645278,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Energy
2022-11-11,91.61,93.61,88.33,93.13,86.8237,127546324,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Energy
2021-01-15,40.52,45.0,40.29,42.75,36.9203,184132033,2019-01-20,2021-01-19,Republican,Democratic,Republican,Energy
2021-01-08,38.34,42.0,37.51,41.42,35.7717,181827483,2019-01-20,2021-01-19,Republican,Democratic,Republican,Energy
2020-12-18,41.75,41.76,39.09,39.4,33.5692,152854201,2019-01-20,2021-01-19,Republican,Democratic,Republican,Energy
2020-12-11,40.15,42.08,39.18,41.12,35.0347,173808126,2019-01-20,2021-01-19,Republican,Democratic,Republican,Energy
2020-12-04,38.48,40.655,36.685,40.63,34.6172,202010573,2019-01-20,2021-01-19,Republican,Democratic,Republican,Energy
2020-11-27,36.37,40.4163,36.33,38.91,33.1518,145744696,2019-01-20,2021-01-19,Republican,Democratic,Republican,Energy
2020-11-20,35.32,36.93,34.81,35.81,30.5105,180632354,2019-01-20,2021-01-19,Republican,Democratic,Republican,Energy
2020-11-13,32.4,34.57,28.9169,33.88,28.8661,297276905,2019-01-20,2021-01-19,Republican,Democratic,Republican,Energy
2019-01-18,61.42,63.89,61.33,63.84,48.3198,60260920,2017-01-20,2019-01-19,Republican,Republican,Republican,Energy
2019-01-11,60.32,62.46,59.52,62.01,46.9347,88779544,2017-01-20,2019-01-19,Republican,Republican,Republican,Energy
2019-01-04,57.56,60.05,56.15,59.87,45.3149,82973478,2017-01-20,2019-01-19,Republican,Republican,Republican,Energy
2018-12-28,55.45,58.01,53.36,57.05,43.1805,88517615,2017-01-20,2019-01-19,Republican,Republican,Republican,Energy
2018-12-21,61.93,62.45,55.64,56.11,42.469,168796687,2017-01-20,2019-01-19,Republican,Republican,Republican,Energy
2018-12-14,63.62,64.55,61.62,62.09,46.5555,98084538,2017-01-20,2019-01-19,Republican,Republican,Republican,Energy
2018-12-07,67.62,67.99,63.07,64.07,48.0401,103092421,2017-01-20,2019-01-19,Republican,Republican,Republican,Energy
2018-11-30,64.38,66.76,64.22,66.11,49.5697,92638753,2017-01-20,2019-01-19,Republican,Republican,Republican,Energy
2018-11-23,66.77,67.43,63.44,63.91,47.9201,73660924,2017-01-20,2019-01-19,Republican,Republican,Republican,Energy
2018-11-16,68.97,69.26,64.83,67.18,50.372,113378147,2017-01-20,2019-01-19,Republican,Republican,Republican,Energy
2017-01-13,75.39,75.46,74.05,74.38,52.8829,54548223,2015-01-20,2017-01-19,Democratic,Republican,Republican,Energy
2017-01-06,76.11,76.81,75.36,75.89,53.9565,54358767,2015-01-20,2017-01-19,Democratic,Republican,Republican,Energy
2016-12-30,76.47,76.78,75.08,75.32,53.5512,33652161,2015-01-20,2017-01-19,Democratic,Republican,Republican,Energy
2016-12-23,76.43,76.65,75.73,76.35,54.2835,41565406,2015-01-20,2017-01-19,Democratic,Republican,Republican,Energy
2016-12-16,78.3,78.45,75.52,76.51,54.3973,90101016,2015-01-20,2017-01-19,Democratic,Republican,Republican,Energy
2016-12-09,75.51,76.76,74.575,76.6,54.1764,79076339,2015-01-20,2017-01-19,Democratic,Republican,Republican,Energy
